Success State,Session Length,Player Type,Percentage Robbers Tagged,Times Sped Up,Percentage Diamonds Collected,Times Hidden,Difficulty Evaluation
0,171.23596129378367,1,100.0,0,6.0,8,Easier
1,68.77606460814454,0,100.0,7,88.0,0,Same
1,123.42596914014968,1,0.0,0,100.0,3,Harder
1,115.80043643804312,0,100.0,4,27.0,0,Harder
0,151.2073566633248,0,16.0,4,100.0,0,Easier
1,118.69963587707078,1,0.0,0,100.0,13,Same
0,70.11384662121546,1,100.0,0,94.0,11,Easier
1,105.17990216173604,1,0.0,0,100.0,5,Harder
1,35.692146701904434,1,0.0,0,100.0,2,Harder
0,52.87710300109926,1,100.0,0,54.0,7,Easier
1,42.62282428991959,0,100.0,2,35.0,0,Harder
1,22.39243875177958,0,100.0,1,23.0,0,Harder
1,7.2109120626708005,0,100.0,10,57.0,0,Harder
0,44.57221878596995,0,45.0,1,100.0,0,Easier
0,85.94926709424388,0,15.0,6,100.0,0,Easier
1,16.462796708586737,0,100.0,6,2.0,0,Harder
1,39.84085680396882,1,0.0,0,100.0,1,Harder
0,104.29033796441567,0,7.0,5,100.0,0,Easier
0,89.67254345558798,0,58.0,11,100.0,0,Easier
0,35.92092781928139,1,100.0,0,31.0,11,Easier
1,14.238398204525405,0,100.0,7,96.0,0,Harder
0,87.80387158693216,1,100.0,0,5.0,8,Easier
1,97.21352425388697,1,0.0,0,100.0,4,Harder
1,128.61416628516326,1,0.0,0,100.0,2,Harder
1,82.67093385767303,1,0.0,0,100.0,1,Harder
0,123.32001714516424,0,60.0,8,100.0,0,Easier
0,154.3972441781664,0,34.0,13,100.0,0,Easier
1,23.746367099186,0,100.0,7,30.0,0,Harder
1,77.1889167210228,0,100.0,3,76.0,0,Harder
0,74.40373321190422,1,100.0,0,44.0,2,Easier
1,76.32517741554857,0,100.0,14,68.0,0,Easier
1,52.87745764272084,1,0.0,0,100.0,2,Harder
0,51.16647337994319,1,100.0,0,88.0,15,Easier
1,150.29670381604151,1,0.0,0,100.0,11,Same
1,34.872169354082054,0,100.0,0,54.0,0,Harder
1,64.82426457880044,1,0.0,0,100.0,3,Harder
1,116.22710033988604,0,100.0,14,74.0,0,Easier
0,24.38173523493103,0,35.0,13,100.0,0,Easier
0,84.56922802975957,1,100.0,0,67.0,0,Easier
0,5.261813698032927,0,39.0,14,100.0,0,Easier
1,51.17358183515937,0,100.0,14,7.0,0,Harder
1,35.852134174726075,1,0.0,0,100.0,0,Harder
0,33.698528048563496,1,100.0,0,9.0,6,Easier
0,87.80676282314714,0,17.0,8,100.0,0,Easier
1,33.506107593308265,0,100.0,14,53.0,0,Harder
1,145.5439603637201,0,100.0,9,42.0,0,Same
0,111.72643199137701,0,3.0,3,100.0,0,Easier
1,136.1142076142573,0,100.0,14,7.0,0,Same
1,138.4687794953986,1,0.0,0,100.0,3,Harder
0,67.32572165193233,0,62.0,14,100.0,0,Easier
1,44.500599421628955,1,0.0,0,100.0,2,Harder
0,78.43702038558523,0,30.0,13,100.0,0,Easier
1,27.93738803970823,1,0.0,0,100.0,9,Harder
1,122.72082783381556,0,100.0,2,81.0,0,Same
1,156.18392690860597,1,0.0,0,100.0,9,Harder
0,17.58526779022485,1,100.0,0,79.0,3,Same
1,70.53468522158978,0,100.0,2,61.0,0,Harder
0,15.46658454060708,1,100.0,0,20.0,14,Easier
0,115.68474552971087,1,100.0,0,85.0,8,Easier
1,43.620916657492884,1,0.0,0,100.0,9,Harder
0,47.57532410476878,1,100.0,0,35.0,4,Easier
1,78.25146577739018,1,0.0,0,100.0,2,Harder
1,120.146383189061,0,100.0,4,40.0,0,Harder
0,110.9736423192083,0,69.0,6,100.0,0,Easier
1,132.30712804847553,0,100.0,8,89.0,0,Easier
0,78.40286142692919,0,57.0,12,100.0,0,Easier
1,9.17800111522357,0,100.0,3,62.0,0,Harder
0,84.09655142273576,0,30.0,10,100.0,0,Easier
1,12.596960965028657,1,0.0,0,100.0,9,Harder
0,29.389057985454304,1,100.0,0,84.0,5,Same
1,16.121773110169798,0,100.0,5,8.0,0,Harder
1,27.418010219730448,1,0.0,0,100.0,0,Harder
1,37.861451081715096,0,100.0,11,3.0,0,Harder
0,64.50839962731784,1,100.0,0,0.0,1,Easier
0,92.25579521867478,1,100.0,0,12.0,6,Easier
1,31.785734298295026,1,0.0,0,100.0,1,Harder
0,36.18839866772104,1,100.0,0,89.0,7,Easier
1,166.94234457925702,0,100.0,5,52.0,0,Harder
0,77.61820040539457,0,3.0,12,100.0,0,Easier
1,169.63578235542457,0,100.0,3,57.0,0,Harder
0,152.51470257670866,1,100.0,0,32.0,8,Easier
0,57.976420214945975,0,17.0,11,100.0,0,Easier
1,71.58223420530277,1,0.0,0,100.0,6,Harder
1,154.28565060064463,1,0.0,0,100.0,0,Harder
1,44.55129372836155,0,100.0,14,96.0,0,Same
0,121.65858781197412,1,100.0,0,12.0,10,Easier
1,99.74264725973676,0,100.0,11,53.0,0,Easier
1,174.1166341317168,1,0.0,0,100.0,10,Same
1,145.28865016697225,0,100.0,10,60.0,0,Easier
1,77.74305731587084,1,0.0,0,100.0,3,Harder
0,109.73642330473592,0,13.0,0,100.0,0,Easier
1,111.67476193894753,1,0.0,0,100.0,14,Same
0,120.84179864077112,0,60.0,7,100.0,0,Easier
1,168.49308451644492,0,100.0,1,93.0,0,Same
1,88.89085960773038,0,100.0,13,51.0,0,Same
0,81.39632428703038,0,92.0,7,100.0,0,Easier
1,145.3151335325198,1,0.0,0,100.0,15,Same
0,23.6215822565297,0,34.0,6,100.0,0,Easier
1,115.32425636451688,1,0.0,0,100.0,4,Harder
0,178.19133890540795,0,36.0,0,100.0,0,Easier
0,174.80490983977634,1,100.0,0,71.0,13,Easier
1,154.3090361905619,0,100.0,7,76.0,0,Easier
0,115.35522559397813,1,100.0,0,46.0,6,Easier
1,32.66979037674087,0,100.0,1,93.0,0,Harder
1,94.7547996403057,0,100.0,9,94.0,0,Easier
1,120.16014995853949,1,0.0,0,100.0,12,Same
0,107.39122371986929,0,30.0,4,100.0,0,Easier
1,142.22163241403044,0,100.0,14,16.0,0,Same
1,163.60375257444872,1,0.0,0,100.0,1,Harder
0,125.47098423865017,1,100.0,0,25.0,4,Easier
0,77.12828652714337,1,100.0,0,74.0,6,Easier
1,162.57315437592266,1,0.0,0,100.0,11,Same
1,74.08107006444,1,0.0,0,100.0,11,Harder
0,3.9700757408914678,1,100.0,0,67.0,12,Easier
1,169.101326401137,0,100.0,7,65.0,0,Easier
0,164.44366561962707,0,93.0,9,100.0,0,Easier
0,30.04376914396715,0,85.0,0,100.0,0,Same
1,49.881837840411414,0,100.0,5,53.0,0,Harder
0,160.6045980089257,1,100.0,0,58.0,10,Easier
0,170.09410822957204,0,46.0,11,100.0,0,Easier
1,140.38744203868788,1,0.0,0,100.0,15,Same
1,177.2284823736392,0,100.0,6,53.0,0,Same
